type;code;name;
Character(36,0);Character(11,0);Character(60,0);
NOT NULL;NOT NULL;NOT NULL;
Справочник.ПроизводителиНоменклатуры;00000003105;ADAICO;
Справочник.ПроизводителиНоменклатуры;00000003105;ADAICO;
Справочник.ПроизводителиНоменклатуры;00000003667;AdBlue;
Справочник.ПроизводителиНоменклатуры;00000003667;AdBlue;
Справочник.ПроизводителиНоменклатуры;00000003667;AdBlue;
Справочник.ПроизводителиНоменклатуры;00000001023;Adler;
Справочник.ПроизводителиНоменклатуры;00000001023;Adler;
Справочник.ПроизводителиНоменклатуры;00000003203;ADRIAUTO;
Справочник.ПроизводителиНоменклатуры;00000003203;ADRIAUTO;
Справочник.ПроизводителиНоменклатуры;00000000650;AE;
Справочник.ПроизводителиНоменклатуры;00000000650;AE;
Справочник.ПроизводителиНоменклатуры;00000000650;AE;
Справочник.ПроизводителиНоменклатуры;00000001442;AE FED-MOG;
Справочник.ПроизводителиНоменклатуры;00000001442;AE FED-MOG;
Справочник.ПроизводителиНоменклатуры;00000001442;AE FED-MOG;
Справочник.ПроизводителиНоменклатуры;00000001024;Aeolus;
Справочник.ПроизводителиНоменклатуры;00000001024;Aeolus;
Справочник.ПроизводителиНоменклатуры;00000002696;AER Diesel;
Справочник.ПроизводителиНоменклатуры;00000002696;AER Diesel;
Справочник.ПроизводителиНоменклатуры;00000003127;AERO COMFORT;
Справочник.ПроизводителиНоменклатуры;00000003127;AERO COMFORT;
Справочник.ПроизводителиНоменклатуры;00000003154;AEROTECH;
Справочник.ПроизводителиНоменклатуры;00000003154;AEROTECH;
Справочник.ПроизводителиНоменклатуры;00000003551;AFFIX;
Справочник.ПроизводителиНоменклатуры;00000003551;AFFIX;
Справочник.ПроизводителиНоменклатуры;00000002591;AFM;
Справочник.ПроизводителиНоменклатуры;00000002591;AFM;
Справочник.ПроизводителиНоменклатуры;00000001996;AFTERMARKET;
Справочник.ПроизводителиНоменклатуры;00000001996;AFTERMARKET;
Справочник.ПроизводителиНоменклатуры;00000003284;AGA;
Справочник.ПроизводителиНоменклатуры;00000003284;AGA;
Справочник.ПроизводителиНоменклатуры;00000003035;AGAMA;
Справочник.ПроизводителиНоменклатуры;00000003035;AGAMA;
Справочник.ПроизводителиНоменклатуры;00000003471;AGAT;
Справочник.ПроизводителиНоменклатуры;00000003471;AGAT;
Справочник.ПроизводителиНоменклатуры;00000003250;AGCO;
Справочник.ПроизводителиНоменклатуры;00000003250;AGCO;
Справочник.ПроизводителиНоменклатуры;00000000947;Agip;
Справочник.ПроизводителиНоменклатуры;00000000947;Agip;
Справочник.ПроизводителиНоменклатуры;00000001903;AGIS;
Справочник.ПроизводителиНоменклатуры;00000001903;AGIS;
Справочник.ПроизводителиНоменклатуры;00000002192;AGRALE;
Справочник.ПроизводителиНоменклатуры;00000002192;AGRALE;
Справочник.ПроизводителиНоменклатуры;00000002192;AGRALE;
Справочник.ПроизводителиНоменклатуры;00000002209;AGRIA;
Справочник.ПроизводителиНоменклатуры;00000002209;AGRIA;
Справочник.ПроизводителиНоменклатуры;00000002209;AGRIA;
Справочник.ПроизводителиНоменклатуры;00000003606;Agrinol;
Справочник.ПроизводителиНоменклатуры;00000003606;Agrinol;
Справочник.ПроизводителиНоменклатуры;00000003611;AGROIMPULS;
Справочник.ПроизводителиНоменклатуры;00000003611;AGROIMPULS;
Справочник.ПроизводителиНоменклатуры;00000003611;AGROIMPULS;
Справочник.ПроизводителиНоменклатуры;00000003061;AHEN;
Справочник.ПроизводителиНоменклатуры;00000003061;AHEN;
Справочник.ПроизводителиНоменклатуры;00000003061;AHEN;
Справочник.ПроизводителиНоменклатуры;00000002145;AHLMANN;
Справочник.ПроизводителиНоменклатуры;00000002145;AHLMANN;
Справочник.ПроизводителиНоменклатуры;00000002145;AHLMANN;
Справочник.ПроизводителиНоменклатуры;00000002574;AIGNERR;
Справочник.ПроизводителиНоменклатуры;00000002574;AIGNERR;
Справочник.ПроизводителиНоменклатуры;00000001907;AIKO;
Справочник.ПроизводителиНоменклатуры;00000001907;AIKO;
Справочник.ПроизводителиНоменклатуры;00000001907;AIKO;
Справочник.ПроизводителиНоменклатуры;00000003125;AIM-ONE;
Справочник.ПроизводителиНоменклатуры;00000003374;AIMPULS;
Справочник.ПроизводителиНоменклатуры;00000003374;AIMPULS;
Справочник.ПроизводителиНоменклатуры;00000001255;AIR EXPERT;
Справочник.ПроизводителиНоменклатуры;00000001255;AIR EXPERT;
